method,env,seed,success_rate_pct,frames
si2e-fixed,MiniGrid-RedBlueDoors-6x6-v0,1,81.19,2944000
si2e-fixed,MiniGrid-RedBlueDoors-6x6-v0,2,1.00,2944000
si2e-fixed,MiniGrid-RedBlueDoors-6x6-v0,3,1.00,2944000
si2e-fixed,MiniGrid-RedBlueDoors-6x6-v0,4,85.00,2944000
si2e-fixed,MiniGrid-RedBlueDoors-6x6-v0,5,1.98,2944000
si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,1,56.22,2944000
si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,2,0.00,2944000
si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,4,67.50,2944000
si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,3,68.00,2944000
si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,5,75.12,2944000
ppo-si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,1,0.50,2944000
ppo-si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,2,0.00,2944000
ppo-si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,3,0.00,2944000
ppo-si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,4,0.00,2944000
ppo-si2e-adaptive,MiniGrid-RedBlueDoors-6x6-v0,5,0.00,2944000
si2e-adaptive,MiniGrid-KeyCorridorS3R2-v0,2,83.00,2944000
si2e-adaptive,MiniGrid-KeyCorridorS3R2-v0,1,50.50,2944000
si2e-adaptive,MiniGrid-KeyCorridorS3R2-v0,4,20.00,2944000
si2e-adaptive,MiniGrid-KeyCorridorS3R2-v0,3,31.00,2944000
si2e-adaptive,MiniGrid-KeyCorridorS3R2-v0,5,48.00,2944000
