method,env,seed,success_rate_pct,fps
fastse-rbd-fast-si2e,MiniGrid-RedBlueDoors-6x6-v0,2,82.59,1872
fastse-rbd-fast-si2e,MiniGrid-RedBlueDoors-6x6-v0,1,68.50,1744
fastse-rbd-fast-si2e,MiniGrid-RedBlueDoors-6x6-v0,3,0.00,2739
fastse-adapt-kc,MiniGrid-KeyCorridorS3R2-v0,2,66.50,1985
fastse-adapt-kc,MiniGrid-KeyCorridorS3R2-v0,1,7.50,2004
fastse-adapt-kc,MiniGrid-KeyCorridorS3R2-v0,4,0.00,1730
fastse-adapt-kc,MiniGrid-KeyCorridorS3R2-v0,3,37.00,1782
fastse-adapt-kc,MiniGrid-KeyCorridorS3R2-v0,5,32.00,2619
fastse-adapt-rbd,MiniGrid-RedBlueDoors-6x6-v0,1,73.50,1912
fastse-adapt-rbd,MiniGrid-RedBlueDoors-6x6-v0,2,0.00,1927
fastse-adapt-rbd,MiniGrid-RedBlueDoors-6x6-v0,4,76.00,1744
fastse-adapt-rbd,MiniGrid-RedBlueDoors-6x6-v0,3,0.50,1806
fastse-adapt-rbd,MiniGrid-RedBlueDoors-6x6-v0,5,0.00,2568
